P,mean,min,max
1,41.702566,41.248140,41.893466
2,81.622888,73.792469,83.067250
4,154.043408,102.557397,162.015936
8,289.786267,278.855542,299.209291
16,514.471324,494.164659,526.027560
32,896.436960,873.699782,918.367329
