P,mean,min,max
1,25.469819,25.394422,25.526639
2,44.924599,43.070740,45.834055
4,76.669684,76.073132,77.346685
8,127.846654,125.174791,129.443042
16,214.931617,213.138184,215.831997
32,290.896562,269.310947,295.222066
